acc. num.,Sequence_ID,Organism,country,Latitude,Longitude,host,collected_by,collection_date,sex
,KCP-2020-00061,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.3951,27.26174,Eragrostis curvula,Kim Canavan,30/11/2020,female
,KCP-2020-00062,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,30/11/2020,female
,KCP-2020-00063,Tetramesa_planaA,"South Africa, Rietspruit area, Free State",-28.45136,27.33518,Eragrostis plana,Kim Canavan,30/11/2020,male
,KCP-2020-00064,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.3951,27.26174,Eragrostis curvula,Kim Canavan,2/12/2020,female
,KCP-2020-00065,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,2/12/2020,female
,KCP-2021-00075,Tetramesa_tefA,,-28.43402,27.35368,Eragrostis tef,Kim Canavan,16/3/2021,female
,KCP-2021-00076,Tetramesa_tefA,,-28.43402,27.35368,Eragrostis tef,Kim Canavan,16/3/2021,female
,KCP-2021-00077,Tetramesa_tefA,,-28.43402,27.35368,Eragrostis tef,Kim Canavan,16/3/2021,male
,KCP-2021-00079,Tetramesa_tefA,,-28.43402,27.35368,Eragrostis tef,Kim Canavan,16/3/2021,female
,KCP-2021-00080,Tetramesa_tefA,,-28.43402,27.35368,Eragrostis tef,Kim Canavan,16/3/2021,male
,KCP-2021-00085,Tetramesa_gummiA,,-28.44168,27.36174,Eragrostis gummiflua,Kim Canavan,16/3/2021,male
,KCP-2021-00089,Tetramesa_gummiA,,-28.44168,27.36174,Eragrostis gummiflua,Kim Canavan,11/3/2021,female
,KCP-2021-00090,Tetramesa_gummiA,,-28.44168,27.36174,Eragrostis gummiflua,Kim Canavan,16/3/2021,female
,KCP-2021-00092,Tetramesa_gummiB,,-28.44168,27.36174,Eragrostis gummiflua,Kim Canavan,16/3/2021,female
,KCP-2021-00096,Tetramesa_lehmspA,,-28.4415,27.3616,Eragrostis lehmanniana,Kim Canavan,11/3/2021,female
,KCP-2021-00140,Tetramesa_gummiA,,-28.44168,27.36174,Eragrostis gummiflua,Kim Canavan,18/3/2021,male
,KCP-2011-00169,Tetramesa romana,,-28.4315,28.0129,Arundo donax,Kim Canavan,11-Sep,
,KCP-2012-00170,Tetramesa romana,,28.511,27.3018,Arundo donax,Kim Canavan,12-Nov,
,KCP-2012-00171,Tetramesa romana,,28.4211,27.264,Arundo donax,Kim Canavan,12-Dec,
,KCP-2012-00172,Tetramesa romana,,28.4211,27.264,Arundo donax,Kim Canavan,12-Nov,
,KCP-2011-00173,Tetramesa romana,,28.4005,27.2529,Arundo donax,Kim Canavan,11-Sep,
,GFS-2021-00245,Pre-pupae (Tetramesa?),"South Africa, Coombs Valley, Makhanda, Eastern Cape",-33.2804,26.79882,Eragrostis curvula,Guy Sutton,21-Feb,
,GFS-2021-00255,Larvae (Tetramesa?),"South Africa, Coombs Valley, Makhanda, Eastern Cape",-33.2804,26.79882,Eragrostis curvula,Guy Sutton,21-Feb,
,GFS-2021-00267,Larvae (Fly?),"South Africa, Coombs Valley, Makhanda, Eastern Cape",-33.2804,26.79882,Eragrostis curvula,Guy Sutton,21-Feb,
,GFS-2021-00307,Larvae (Tetramesa?),"South Africa, Coombs Valley, Makhanda, Eastern Cape",-33.2804,26.79882,Eragrostis curvula,Guy Sutton,21-Feb,
,GFS-2021-00329,Tetramesa sp. 1,"South Africa, Drummond, Durban, KZN",-29.76216,30.6919,Sporobolus pyramidalis,Guy Sutton,21-Apr,male
,GFS-2021-00344,Larvae (Tetramesa?),"South Africa, Coombs Valley, Makhanda, Eastern Cape",-33.2804,26.79882,Eragrostis curvula,Guy Sutton,21-Feb,
,GFS-2021-00354,Tetramesa sp. 1,"South Africa, Drummond, Durban, KZN",-29.76216,30.6919,Sporobolus pyramidalis,Guy Sutton,21-Apr,male
,GFS-2021-00373,Larvae (Tetramesa?),"South Africa, Coombs Valley, Makhanda, Eastern Cape",-33.2804,26.79882,Eragrostis curvula,Guy Sutton,21-Feb,
,GFS-2021-00374,Tetramesa sp. 5,"South Africa, Coombs Valley, Makhanda, Eastern Cape",-33.2804,26.79882,Eragrostis curvula,Guy Sutton,21-Feb,
,GFS-2021-00411,Larvae (Tetramesa?),"South Africa, Coombs Valley, Makhanda, Eastern Cape",-33.2804,26.79882,Eragrostis curvula,Guy Sutton,21-Feb,
